#,Date,Source,Short Description,Primary Cluster,Tweet Link
1,Apr 7,@RoundtableSpace,Dify AI app/workflow platform,Workflow / Platform,https://x.com/RoundtableSpace/status/2040825541033386471
2,Apr 7,siddsachar,Thoth – personal desktop AI sovereignty,Personal Agent + KG,https://github.com/siddsachar/Thoth
3,Apr 7,@RoundtableSpace,Graphify – LLM knowledge graph,Memory / KG,https://x.com/RoundtableSpace/status/2041421970546528318
4,Apr 7,@santifer,career-ops – personal job-search AI,Practical Tooling,https://x.com/santifer/status/2041403685696053741
5,Apr 7,@sentient_agency,Coolify – self-hosted PaaS,Infra Sovereignty,https://x.com/sentient_agency/status/2041456078429601920
6,Apr 7,@meta_alchemist,obsidian-skills – agent skills for Obsidian,Memory / KG,https://x.com/meta_alchemist/status/2041279751999078813
7,Apr 7,@AriaWestcott,Financial Datasets MCP,Data Layer,https://x.com/AriaWestcott/status/2041173230765871569
8,Apr 7,@marryevan999,Claude Polymarket trading bot,Polymarket Execution,https://x.com/marryevan999/status/2041208325128482878
9,Apr 7,@_avichawla,DeepTeam – LLM red-teaming,Security,https://x.com/_avichawla/status/2041425201330819078
10,Apr 7,@NickSpisak_,Karpathy KB tutorial,Memory,https://x.com/NickSpisak_/status/2040448463540830705
11,Apr 7,@om_patel5,free-coding-models CLI,Dev Tooling,https://x.com/om_patel5/status/2040298602069639208
12,Mar 20,@sharbel,Fastest growing AI repos list,Meta-Signal,https://x.com/sharbel/status/2034968576696688689
13,Apr 7,@0xRayAI,StringRay / XRay announcement,Self-Healing Governance,https://x.com/Blaze0x1/status/2041530968930955540
14,Apr 7,Various,Early Polymarket bot experiments,Polymarket Execution,Various
15,Apr 7,@heynavtoor,Newton physics simulator for agents,Tooling,Various
16,Apr 7,@primemans,Claude MrBeast YouTube strategy,Content / Business,Various
17,Apr 7,@Shruti_0810,BitNet.cpp 1-bit models,Local Inference,Various
18,Apr 7,@The_Cyber_News,METATRON offline pentesting,Security,Various
19,Apr 8,Various,Polymarket self-healing agents,Polymarket Execution,Various
20,Apr 8,Various,More Polymarket strategies,Polymarket Execution,Various
21,Apr 8,@heynavtoor,$500/mo SaaS → open-source replacements,Sovereignty,Various
